"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01"
"Giannis Antetokounmpo_MIL",NA,57.25,NA,50.75,NA
"LeBron James_CLE",NA,58,NA,59,NA
"DeMarcus Cousins_NO",NA,NA,42.5,NA,49.25
"Anthony Davis_NO",NA,NA,22.25,NA,39.5
"Joel Embiid_PHI",NA,NA,58.5,0,NA
"Ben Simmons_PHI",NA,NA,66,40.5,NA
"Damian Lillard_POR",NA,NA,NA,35.75,NA
"Andre Drummond_DET",NA,NA,35.25,NA,55.75
"Nikola Jokic_DEN",NA,27,NA,19,NA
"Marc Gasol_MEM",NA,NA,27,NA,45.25
"Kevin Love_CLE",NA,56.75,NA,49,NA
"Eric Bledsoe_MIL",NA,42.25,NA,37.75,NA
"Jusuf Nurkic_POR",NA,NA,NA,46.75,NA
"Tyreke Evans_MEM",NA,NA,32.75,NA,14.25
"Khris Middleton_MIL",NA,22,NA,43.75,NA
"Will Barton_DEN",NA,14.5,NA,51.5,NA
"CJ McCollum_POR",NA,NA,NA,31.5,NA
"Lonzo Ball_LAL",20.75,NA,36.5,NA,NA
"Isaiah Thomas_CLE",NA,0,NA,0,NA
"Mike Conley_MEM",NA,NA,0,NA,0
"Tobias Harris_DET",NA,NA,31.25,NA,20
"Paul Millsap_DEN",NA,0,NA,0,NA
"Brandon Ingram_LAL",24.75,NA,50.25,NA,NA
"Reggie Jackson_DET",NA,NA,34.75,NA,16.5
"Jrue Holiday_NO",NA,NA,42.75,NA,24.5
"Robert Covington_PHI",NA,NA,28.5,20.25,NA
"Kentavious Caldwell-Pope_LAL",46,NA,31.75,NA,NA
"Gary Harris_DEN",NA,26.25,NA,39.25,NA
"Dwyane Wade_CLE",NA,32.75,NA,38.5,NA
"Mario Chalmers_MEM",NA,NA,0,NA,10.5
"Avery Bradley_DET",NA,NA,26,NA,25.5
"Kyle Kuzma_LAL",22,NA,0,NA,NA
"Larry Nance_LAL",29,NA,22.5,NA,NA
"Dario Saric_PHI",NA,NA,39,38.5,NA
"JJ Redick_PHI",NA,NA,15.5,33.25,NA
"Willie Cauley-Stein_SAC",43,23.5,NA,NA,28.75
"Julius Randle_LAL",16.75,NA,29.5,NA,NA
"Jabari Parker_MIL",NA,0,NA,0,NA
"Brook Lopez_LAL",11.75,NA,11.75,NA,NA
"Zach Randolph_SAC",23,18.75,NA,NA,48.75
"Jamal Murray_DEN",NA,14.75,NA,10.5,NA
"Jordan Clarkson_LAL",34,NA,41,NA,NA
"Malcolm Brogdon_MIL",NA,25.5,NA,16.75,NA
"Kenneth Faried_DEN",NA,20,NA,32.75,NA
"Wilson Chandler_DEN",NA,0,NA,0,NA
"John Henson_MIL",NA,22.25,NA,29.5,NA
"JaMychal Green_MEM",NA,NA,23.5,NA,9.75
"Rajon Rondo_NO",NA,NA,15.75,NA,40.5
"TJ McConnell_PHI",NA,NA,7.5,0,NA
"De'Aaron Fox_SAC",20,7.25,NA,NA,24.25
"Buddy Hield_SAC",6.75,17.5,NA,NA,1.5
"Al-Farouq Aminu_POR",NA,NA,NA,11.75,NA
"JR Smith_CLE",NA,24.25,NA,13.75,NA
"Noah Vonleh_POR",NA,NA,NA,11,NA
"Ish Smith_DET",NA,NA,0,NA,0
"George Hill_SAC",21.5,7.5,NA,NA,22.75
"Evan Turner_POR",NA,NA,NA,19.25,NA
"Emmanuel Mudiay_DEN",NA,15.75,NA,18,NA
"Garrett Temple_SAC",25.75,21.5,NA,NA,28.25
"Jeff Green_CLE",NA,15.5,NA,22.25,NA
"Jae Crowder_CLE",NA,1.5,NA,23,NA
"Dillon Brooks_MEM",NA,NA,13,NA,7.25
"James Ennis III_MEM",NA,NA,0,NA,0
"Chandler Parsons_MEM",NA,NA,0,NA,14
"Tristan Thompson_CLE",NA,0,NA,0,NA
"Derrick Rose_CLE",NA,0,NA,0,NA
"Markelle Fultz_PHI",NA,NA,0,0,NA
"Mason Plumlee_DEN",NA,4,NA,19.75,NA
"Tony Snell_MIL",NA,19,NA,8,NA
"Thon Maker_MIL",NA,14.25,NA,6.5,NA
"Amir Johnson_PHI",NA,NA,12.5,25,NA
"Richaun Holmes_PHI",NA,NA,0,17.75,NA
"Stanley Johnson_DET",NA,NA,12.75,NA,10
"Juancho Hernangomez_DEN",NA,0,NA,0,NA
"Trey Lyles_DEN",NA,10,NA,22,NA
"Frank Mason III_SAC",24.75,21.5,NA,NA,12.25
"Kyle Korver_CLE",NA,16.5,NA,13.75,NA
"Bogdan Bogdanovic_SAC",18,11.5,NA,NA,29.75
"Ben McLemore_MEM",NA,NA,17.75,NA,22.5
"Iman Shumpert_CLE",NA,0,NA,0,NA
"E'Twaun Moore_NO",NA,NA,11,NA,30.25
"Jameer Nelson_NO",NA,NA,16.75,NA,14.25
"Shabazz Napier_POR",NA,NA,NA,10.25,NA
"Caleb Swanigan_POR",NA,NA,NA,0,NA
"DeAndre Liggins_MIL",NA,7.25,NA,7.75,NA
"Channing Frye_CLE",NA,9.5,NA,7.25,NA
"Andrew Harrison_MEM",NA,NA,24,NA,15.5
"Jarell Martin_MEM",NA,NA,9.5,NA,4
"Pat Connaughton_POR",NA,NA,NA,7.25,NA
"Darius Miller_NO",NA,NA,17,NA,23
"Maurice Harkless_POR",NA,NA,NA,5.5,NA
"Jerryd Bayless_PHI",NA,NA,20.75,18.5,NA
"Luke Kennard_DET",NA,NA,27.5,NA,10.5
"Anthony Tolliver_DET",NA,NA,16.25,NA,16.75
"Ivica Zubac_LAL",0,NA,0,NA,NA
"Skal Labissiere_SAC",18.5,18.5,NA,NA,14.5
"Kosta Koufos_SAC",1.5,12.25,NA,NA,10.5
"Brandan Wright_MEM",NA,NA,0,NA,2
"Ed Davis_POR",NA,NA,NA,3.25,NA
"Dante Cunningham_NO",NA,NA,10.5,NA,4.75
"Justin Jackson_SAC",0,0,NA,NA,0
"Deyonta Davis_MEM",NA,NA,4.5,NA,17.5
"Ante Zizic_CLE",NA,0,NA,0,NA
"Meyers Leonard_POR",NA,NA,NA,5.75,NA
"Ian Clark_NO",NA,NA,3.5,NA,0
"Timothe Luwawu-Cabarrot_PHI",NA,NA,8.25,17.5,NA
"Matthew Dellavedova_MIL",NA,0,NA,0,NA
"Mirza Teletovic_MIL",NA,0,NA,0,NA
"Tony Allen_NO",NA,NA,13.25,NA,2.5
"Cheick Diallo_NO",NA,NA,0,NA,0
"Langston Galloway_DET",NA,NA,18.5,NA,1.5
"Jose Calderon_CLE",NA,9.5,NA,6.5,NA
"Ivan Rabb_MEM",NA,NA,0,NA,0
"Vince Hunter_MEM",NA,NA,0,NA,0
"Wayne Selden_MEM",NA,NA,0,NA,0
"Cedi Osman_CLE",NA,0,NA,13.5,NA
"John Holland_CLE",NA,0,NA,0,NA
"Kobi Simmons_MEM",NA,NA,0,NA,0
"London Perrantes_CLE",NA,0,NA,0,NA
"Solomon Hill_NO",NA,NA,0,NA,0
"Jalen Jones_NO",NA,NA,0,NA,0
"Omer Asik_NO",NA,NA,0,NA,0
"Charles Cooke_NO",NA,NA,0,NA,0
"Alexis Ajinca_NO",NA,NA,0,NA,0
"Frank Jackson_NO",NA,NA,0,NA,0
"Zach Collins_POR",NA,NA,NA,0,NA
"CJ Wilcox_POR",NA,NA,NA,0,NA
"Jake Layman_POR",NA,NA,NA,0,NA
"Wade Baldwin IV_POR",NA,NA,NA,0,NA
"Jahlil Okafor_PHI",NA,NA,0,0,NA
"Boban Marjanovic_DET",NA,NA,4.75,NA,7.25
"Luis Montero_DET",NA,NA,0,NA,0
"Nik Stauskas_PHI",NA,NA,0,0,NA
"Jon Leuer_DET",NA,NA,0,NA,0
"Henry Ellenson_DET",NA,NA,8,NA,0
"James Michael McAdoo_PHI",NA,NA,0,0,NA
"Reggie Bullock_DET",NA,NA,0,NA,0
"Eric Moreland_DET",NA,NA,19.5,NA,0.75
"Justin Anderson_PHI",NA,NA,0,0,NA
"Furkan Korkmaz_PHI",NA,NA,0,0,NA
"Jacob Pullen_PHI",NA,NA,0,0,NA
"Dwight Buycks_DET",NA,NA,0,NA,0
"Corey Brewer_LAL",13.5,NA,3.5,NA,NA
"Malik Beasley_DEN",NA,8.5,NA,0,NA
"Josh Hart_LAL",10.75,NA,9.25,NA,NA
"Richard Jefferson_DEN",NA,0,NA,5,NA
"Andrew Bogut_LAL",0,NA,6,NA,NA
"Monte Morris_DEN",NA,0,NA,0,NA
"Luol Deng_LAL",0,NA,0,NA,NA
"Torrey Craig_DEN",NA,0,NA,0,NA
"Darrell Arthur_DEN",NA,0,NA,0,NA
"Thomas Bryant_LAL",0,NA,0,NA,NA
"Tyler Ennis_LAL",0,NA,0,NA,NA
"Alex Caruso_LAL",0,NA,0,NA,NA
"Vander Blue_LAL",0,NA,0,NA,NA
"Tyler Lydon_DEN",NA,0,NA,0,NA
"Vince Carter_SAC",16.75,4.5,NA,NA,11.5
"Harry Giles_SAC",0,0,NA,NA,0
"Jakarr Sampson_SAC",0,0,NA,NA,0
"Jack Cooley_SAC",0,0,NA,NA,0
"Georgios Papagiannis_SAC",0,0,NA,NA,0
"Malachi Richardson_SAC",0,4,NA,NA,0
"Jason Terry_MIL",NA,12,NA,6,NA
"Rashad Vaughn_MIL",NA,0,NA,0,NA
"DJ Wilson_MIL",NA,7.5,NA,0,NA
"Gary Payton II_MIL",NA,1,NA,0,NA
"Joel Bolomboy_MIL",NA,0,NA,0,NA
"Sterling Brown_MIL",NA,0,NA,0,NA
